date,cost,cost_baseline,saving,s_final,year,month
2022-03-05,3.094718153992521,3.6647835209235176,0.5700653669309967,0.0,2022,3
2022-03-06,2.1448758334028,3.026603124505,0.8817272911021998,0.0,2022,3
2022-03-07,3.085411573652166,3.8028872641096645,0.7174756904574986,0.0,2022,3
2022-03-08,2.1912224878156694,4.2955389553850685,2.104316467569399,0.0,2022,3
2022-03-09,3.5059611839645166,4.220352431029418,0.714391247064901,0.0,2022,3
2022-03-10,2.2137433350017615,3.2259824079382624,1.012239072936501,0.0,2022,3
2022-03-11,0.06747035486508755,1.6241321143575878,1.5566617594925003,5.3755962,2022,3
2022-03-12,0.1446900966392825,1.9889682714895827,1.8442781748503,0.0,2022,3
2022-03-13,-0.2739369377619854,1.2704963140461145,1.5444332518080999,6.2847491,2022,3
2022-03-14,0.567946328435769,2.6568289400196687,2.0888826115839,0.0,2022,3
2022-03-15,2.263317376125829,2.7237088834362266,0.4603915073103977,0.0,2022,3
2022-03-16,2.24065996016484,2.601517524426341,0.36085756426150084,0.0,2022,3
