datum,injectie_kwh,zon_min,poa_kwh_m2,inj_per_zonuur,inj_per_poa
2025-08-20,0.872,717.69,5.1263,0.07290055595034067,0.17010319333632445
2025-08-21,0.955,728.83,4.5134,0.0786191567306505,0.2115921478264723
2025-08-22,0.438,375.3,2.8048,0.07002398081534772,0.15616086708499713
2025-08-23,1.345,561.24,3.7394,0.14378875347444942,0.3596833716639033
2025-08-24,0.895,804.3,5.7603,0.06676613204028348,0.1553738520563165
2025-08-25,0.822,799.0,5.702,0.061727158948685856,0.14415994387934059
2025-08-26,0.947,760.61,4.2424,0.07470319874837301,0.22322270412973788
2025-08-27,0.808,488.68,3.506,0.09920602439224031,0.2304620650313748
2025-08-28,0.888,611.99,3.8635,0.08706024608245232,0.22984340623786723
2025-08-29,0.6,511.3,2.46,0.07040876197926853,0.24390243902439024
2025-08-30,0.799,693.28,3.6131,0.06914954996538196,0.2211397414962221
2025-08-31,0.195,286.92,2.1313,0.04077791718946048,0.09149345469901
2025-09-01,0.899,550.98,4.1108,0.09789829031906784,0.2186922253575946
2025-09-02,0.645,492.82,3.5178,0.07852765715677124,0.18335323213371996
2025-09-03,0.476,344.12,2.4301,0.08299430431244914,0.19587671289247355
2025-09-04,0.542,613.11,3.4423,0.05304105299212213,0.15745286581645995
2025-09-05,0.768,771.94,4.1427,0.05969375858227323,0.18538634224056777
2025-09-06,0.763,770.4,4.1319,0.05942367601246106,0.1846608097969457
2025-09-07,0.615,768.87,4.4254,0.04799250848648016,0.13897048854340852
2025-09-08,0.506,625.02,2.9495,0.048574445617740235,0.17155450076284115
2025-09-09,0.789,418.66,3.0895,0.11307504896574787,0.25538112963262666
2025-09-10,0.478,486.61,3.2166,0.05893836953617887,0.14860411614748492
2025-09-11,0.838,661.57,2.5767,0.0760010278579742,0.32522218341289244
2025-09-12,1.183,692.34,3.5971,0.10252188231215878,0.32887603903144197
2025-09-13,0.947,544.01,2.7322,0.10444660943732652,0.3466071297855208
2025-09-14,0.478,479.45,2.8139,0.059818542079466054,0.1698709975478873
2025-09-15,0.82,707.36,3.271,0.06955439945713639,0.25068786303882606
2025-09-16,0.976,691.03,3.8173,0.08474306470051951,0.2556780970843266
2025-09-17,0.405,170.4,1.5638,0.1426056338028169,0.25898452487530377
2025-09-18,0.035,623.06,2.6659,0.003370461913780375,0.01312877452267527
2025-09-19,0.652,704.98,3.9004,0.05549093591307555,0.16716234232386423
2025-09-20,0.091,209.31,1.186,0.026085710190626343,0.07672849915682968
2025-09-21,0.184,44.54,1.4412,0.24786708576560396,0.1276713849569803
2025-09-22,0.624,660.0,3.4436,0.05672727272727273,0.1812057149494715
2025-09-23,0.401,270.13,2.26,0.08906822640950654,0.17743362831858409
2025-09-24,0.176,419.95,2.5913,0.025145850696511488,0.0679195770462702
2025-09-25,0.059,203.76,1.9849,0.017373380447585393,0.029724419366214918
2025-09-26,0.642,366.57,1.8415,0.1050822489565431,0.3486288351887049
2025-09-27,0.296,579.09,2.7837,0.030668807957312333,0.10633329740992203
2025-09-28,0.44,600.0,2.9612,0.044,0.1485884101040119
2025-09-29,0.595,657.76,2.8018,0.054275115543663335,0.21236348061960167
2025-09-30,0.452,630.42,2.7218,0.04301893975444942,0.16606657359100596
2025-10-01,0.132,453.89,2.7435,0.017449161691158652,0.048113723346090764
2025-10-02,0.403,388.21,2.0191,0.06228587620102522,0.19959387846070034
2025-10-04,1.105,421.28,2.0806,0.15737751614128373,0.5310967990002884
2025-10-05,0.311,600.78,1.9709,0.03105962249076201,0.1577959307930387
2025-10-06,0.104,215.8,1.0741,0.028915662650602407,0.09682524904571269
2025-10-07,0.131,26.79,1.2726,0.2933930571108623,0.10293886531510295
2025-10-08,0.187,289.47,1.2843,0.03876049331536947,0.14560460951491086
2025-10-09,0.121,371.58,1.4612,0.019538188277087035,0.08280865042430878
2025-10-10,0.083,217.49,1.3814,0.022897604487562645,0.06008397278123643
2025-10-11,0.042,119.11,1.2738,0.021156913777180757,0.03297220913801225
2025-10-12,0.282,193.5,1.4822,0.08744186046511628,0.19025772500337335
2025-10-15,0.0,101.51,1.0188,0.0,0.0
2025-10-16,0.222,162.51,1.2787,0.08196418681927266,0.1736138265425823
2025-10-17,0.0,90.89,0.9145,0.0,0.0
2025-10-18,0.135,385.77,1.8173,0.020996967104751536,0.07428602872393111
2025-10-19,0.196,305.99,2.3153,0.038432628517271805,0.08465425646784434
2025-10-20,0.286,480.0,1.8039,0.03575,0.15854537391207937
2025-10-21,0.064,233.76,0.7616,0.01642710472279261,0.08403361344537814
2025-10-22,0.0,419.27,1.1409,0.0,0.0
2025-10-23,0.0,135.01,0.443,0.0,0.0
2025-10-24,0.676,435.97,1.13,0.09303392435259307,0.5982300884955754
2025-10-25,0.714,81.64,0.2805,0.5247427731504164,2.545454545454545
2025-10-26,0.042,533.87,1.3763,0.004720250248187762,0.030516602484923345
2025-10-27,0.393,480.0,0.9417,0.049125,0.4173303599872571
2025-10-28,0.267,139.8,0.71,0.11459227467811159,0.37605633802816907
2025-10-29,0.026,19.2,0.8878,0.08124999999999999,0.029285875197116465
2025-10-30,0.098,448.12,1.4629,0.013121485316433099,0.066990224895755
2025-10-31,0.054,245.79,1.2398,0.013181984621017943,0.043555412163252136
2025-11-01,0.007,44.0,0.2107,0.009545454545454546,0.03322259136212625
2025-11-02,0.187,385.64,1.1166,0.029094492272585832,0.1674726849364141
2025-11-03,0.066,163.1,0.7822,0.024279583077866342,0.08437739708514447
2025-11-04,0.17,496.75,1.3383,0.020533467539003526,0.12702682507658972
2025-11-05,0.371,527.28,1.2996,0.042216659080564406,0.28547245306248076
2025-11-06,0.001,509.3,1.0948,0.00011780875711761241,0.0009134088417975887
2025-11-07,0.352,540.0,1.293,0.03911111111111111,0.2722351121423047
2025-11-08,0.128,416.68,1.2218,0.018431410194873765,0.10476346374201997
2025-11-09,0.215,537.8,1.214,0.023986612123465974,0.1771004942339374
2025-11-10,0.118,400.66,1.0,0.017670843108870363,0.118
2025-11-11,0.017,367.98,0.8119,0.002771889776618295,0.020938539228969086
2025-11-12,0.139,433.29,1.1521,0.019248078654019247,0.12064924919711832
2025-11-13,0.0,98.71,0.6923,0.0,0.0
2025-11-15,0.0,23.29,0.4002,0.0,0.0
2025-11-17,0.89,514.43,0.9908,0.10380421048539161,0.8982640290674203
2025-11-18,0.007,250.93,0.3884,0.0016737735623480654,0.018022657054582905
2025-11-20,0.043,116.19,0.6407,0.022205009036922282,0.06711409395973153
2025-11-21,0.18,227.65,0.645,0.047441247529101685,0.27906976744186046
2025-11-22,0.58,409.51,1.0915,0.08497960977753902,0.5313788364635822
2025-11-24,0.064,62.41,0.2821,0.06152860118570742,0.22686990428925913
2025-11-25,0.071,229.64,0.3973,0.018550775126284617,0.17870626730430406
2025-11-26,0.128,207.26,0.3403,0.037054906880247034,0.37613870114604764
2025-11-29,0.0,145.11,0.2802,0.0,0.0
2025-11-30,0.0,290.2,0.4998,0.0,0.0
2025-12-01,0.001,29.52,0.3075,0.0020325203252032522,0.0032520325203252032
2025-12-02,0.0,120.0,0.469,0.0,0.0
2025-12-03,0.0,132.4,0.2586,0.0,0.0
2025-12-04,0.0,300.0,0.5044,0.0,0.0
2025-12-05,0.004,20.89,0.3826,0.011488750598372427,0.010454783063251438
2025-12-06,0.0,175.81,0.3103,0.0,0.0
2025-12-09,0.045,282.82,0.4343,0.009546708153595927,0.1036150126640571
2025-12-10,0.0,152.51,0.3448,0.0,0.0
2025-12-11,0.0,59.58,0.3388,0.0,0.0
2025-12-12,0.0,84.06,0.2259,0.0,0.0
2025-12-13,0.017,138.14,0.1706,0.007383813522513394,0.0996483001172333
2025-12-15,0.266,429.15,0.4672,0.03718979377839916,0.5693493150684932
2025-12-16,0.056,300.0,0.343,0.0112,0.16326530612244897
2025-12-17,0.0,255.21,0.324,0.0,0.0
2025-12-18,0.214,321.36,0.3841,0.039955190440627335,0.5571465764123926
2025-12-19,0.754,100.73,0.2352,0.449121413680135,3.2057823129251704
2025-12-21,0.0,261.14,0.4352,0.0,0.0
2025-12-22,0.0,420.0,0.4308,0.0,0.0
2025-12-23,0.0,243.34,0.3636,0.0,0.0
