date,cost_act,cost_ml_eval,month
2024-12-26,4.802098982928031,4.802098982928032,2024-12
2024-12-27,7.251602394980849,7.251602394980848,2024-12
2024-12-28,5.200655630530815,5.201055242311201,2024-12
2024-12-29,4.67038851259823,4.690949631437596,2024-12
2024-12-30,6.696279214969883,6.6962792149698815,2024-12
2024-12-31,4.054919117731494,4.054919117731493,2024-12
2025-01-01,3.7830910244980767,3.783091024498077,2025-01
2025-01-02,4.833995529652792,4.834615810542344,2025-01
2025-01-03,6.543135213978433,6.543135213978431,2025-01
2025-01-04,5.382897822368008,5.549017127884454,2025-01
2025-01-05,3.9107201107216065,3.9107201107216065,2025-01
2025-01-06,4.0823612385313375,4.0823612385313375,2025-01
2025-01-07,5.12963274005379,5.291191191492358,2025-01
2025-01-08,4.867007332521635,4.867630616222174,2025-01
2025-01-09,5.376235836843318,5.376235836843317,2025-01
2025-01-10,7.4822022783410365,7.492985657683477,2025-01
2025-01-11,5.734071823541031,5.734071823541033,2025-01
2025-01-12,7.454630502685738,7.502228542426211,2025-01
2025-01-13,5.226827782532676,5.286119444489092,2025-01
2025-01-14,8.725587060084514,8.906604311659462,2025-01
2025-01-15,7.076175932927338,7.5704271075612715,2025-01
2025-01-16,5.575433813255147,5.577541420878541,2025-01
2025-01-17,7.279446184351403,7.281744006347113,2025-01
2025-01-18,7.021214781271311,7.021214781271311,2025-01
2025-01-19,7.003730259559205,7.0037302595592035,2025-01
2025-01-20,5.575095860583613,6.61273586683061,2025-01
2025-01-21,5.414635497919611,5.420660389704258,2025-01
2025-01-22,5.583803475574639,5.58738517787768,2025-01
2025-01-23,4.491921335124492,4.49364815892298,2025-01
2025-01-24,6.360594917884124,6.360594917884123,2025-01
2025-01-25,5.062466991263645,5.062466991263645,2025-01
2025-01-26,5.647232048418132,5.647232048418132,2025-01
2025-01-27,2.4620937984874334,2.463369870671851,2025-01
2025-01-28,4.896823980695535,4.897168280603964,2025-01
2025-01-29,5.723264163712715,5.723264163712713,2025-01
2025-01-30,3.4649477240695057,3.4649477240695052,2025-01
2025-01-31,5.294236068894407,5.294236068894406,2025-01
2025-02-01,5.746747808375043,5.841278134783702,2025-02
2025-02-02,4.466908302032077,4.741640336859769,2025-02
2025-02-03,5.6845233003698015,5.731274867361633,2025-02
2025-02-04,6.521570507089145,6.643407181854327,2025-02
2025-02-05,4.1486719864201005,4.148671986420103,2025-02
2025-02-06,3.209584100077355,3.4158080174439878,2025-02
2025-02-07,4.198196164231263,4.200895351221241,2025-02
2025-02-08,4.852143437672395,4.935759699344184,2025-02
2025-02-09,9.366491182304278,9.366491182304282,2025-02
2025-02-10,7.83484268994706,7.835394031743645,2025-02
2025-02-11,6.880690495302905,6.882724683689444,2025-02
2025-02-12,6.910093163397725,6.911846731864111,2025-02
2025-02-13,7.748218313997415,7.748218313997418,2025-02
2025-02-14,5.136048949333174,5.282942471492133,2025-02
2025-02-15,7.2487024439974395,7.248702443997438,2025-02
2025-02-16,3.942544322973803,4.022745461490114,2025-02
2025-02-17,3.9349407888613737,4.139755294698211,2025-02
2025-02-18,2.3168730623913683,2.7578790662225043,2025-02
2025-02-19,3.743587630059683,3.8599524314589972,2025-02
2025-02-20,5.085093112707653,5.148897160157449,2025-02
2025-02-21,3.889593435895369,3.894766029104039,2025-02
2025-02-22,3.271568836717142,3.2715688367171416,2025-02
2025-02-23,4.500010876480987,4.51741505296198,2025-02
2025-02-24,4.967163489313336,5.080050910992826,2025-02
2025-02-25,4.410265644663905,4.476618605104475,2025-02
2025-02-26,3.93391970379427,4.0023019132533735,2025-02
2025-02-27,5.8777097162196945,5.88190452498596,2025-02
2025-02-28,4.395082252381549,4.6337113147846,2025-02
2025-03-01,9.374495602704416,9.378690779840554,2025-03
2025-03-02,3.829197242548588,4.056298278666688,2025-03
2025-03-03,1.69241967403002,2.2979377919556527,2025-03
2025-03-04,2.9780509746135553,3.491615911800788,2025-03
2025-03-05,2.986749658608749,3.3006615845431932,2025-03
2025-03-06,3.6445178434544583,3.9654750307852717,2025-03
2025-03-07,2.5464109020446326,3.1210011153942316,2025-03
2025-03-08,2.406595649253682,2.6701160508706927,2025-03
2025-03-09,2.1921558558197294,2.5564056037680793,2025-03
2025-03-10,3.815521728107087,3.847998560252435,2025-03
